key	text	tooltip
agent_subtypes_description_text_override_troy_dlc1_hip_warlord_tactician		true
agent_subtypes_description_text_override_troy_agent_gorgon	"Atop the body, the face of the Gorgon stared down, withering and with terrible intent, her hair a mass of foul serpents."	true
agent_subtypes_description_text_override_troy_achilles		true
agent_subtypes_description_text_override_troy_dlc1_pen_fighter_killer		true
agent_subtypes_onscreen_name_override_troy_defender_quick	Defender - Companion	true
agent_subtypes_description_text_override_troy_menelaus		true
agent_subtypes_onscreen_name_override_troy_aeneas	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_agent_spy	Spy	true
agent_subtypes_description_text_override_troy_hippolyta		true
agent_subtypes_onscreen_name_override_troy_agent_seer	Seer	true
agent_subtypes_description_text_override_troy_warlord_utility		true
agent_subtypes_onscreen_name_override_troy_warlord_utility	Warlord - Mentor	true
agent_subtypes_onscreen_name_override_troy_hector	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_odysseus	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_menelaus	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_dlc1_pen_warlord_tactician	Warlord - Commander	true
agent_subtypes_description_text_override_troy_dlc1_pen_archer_trickster		true
agent_subtypes_onscreen_name_override_troy_agent_priam	Priam	true
agent_subtypes_description_text_override_troy_fighter_balanced		true
agent_subtypes_onscreen_name_override_troy_dlc1_pen_archer_trickster	Archer - Trickster	true
agent_subtypes_onscreen_name_override_troy_agent_satyr	Satyr	true
agent_subtypes_description_text_override_troy_agamemnon		true
agent_subtypes_description_text_override_troy_odysseus		true
agent_subtypes_onscreen_name_override_troy_dlc1_hip_archer_skirmisher	Archer - Skirmisher	true
agent_subtypes_onscreen_name_override_troy_warlord_tactician	Warlord - Commander	true
agent_subtypes_description_text_override_troy_dlc1_pen_warlord_tactician		true
agent_subtypes_description_text_override_troy_warlord_tactician		true
agent_subtypes_description_text_override_troy_warlord_warmonger		true
agent_subtypes_description_text_override_troy_defender_aggro		true
agent_subtypes_onscreen_name_override_troy_agent_helen	Helen	true
agent_subtypes_description_text_override_troy_dlc1_pen_warlord_utility		true
agent_subtypes_description_text_override_troy_dlc1_pen_archer_skirmisher		true
agent_subtypes_onscreen_name_override_troy_dlc1_pen_fighter_disruptor	Fighter - Ravager	true
agent_subtypes_description_text_override_troy_archer_skirmisher		true
agent_subtypes_description_text_override_troy_dlc1_hip_archer_skirmisher		true
agent_subtypes_description_text_override_troy_agent_spy	Sharpest is the blade that moves in darkness, for shields cannot deflect that which cannot be anticipated.	true
agent_subtypes_onscreen_name_override_troy_dlc1_hip_warlord_utility	Warlord - Mentor	true
agent_subtypes_description_text_override_troy_agent_priam		true
agent_subtypes_onscreen_name_override_troy_hippolyta	Epic Hero	true
agent_subtypes_description_text_override_troy_fighter_disruptor		true
agent_subtypes_onscreen_name_override_troy_defender_aggro	Defender - Veteran	true
agent_subtypes_onscreen_name_override_troy_agamemnon	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_defender_tank	Defender - Protector	true
agent_subtypes_description_text_override_troy_dlc1_pen_fighter_balanced		true
agent_subtypes_onscreen_name_override_troy_dlc1_pen_archer_skirmisher	Archer - Skirmisher	true
agent_subtypes_description_text_override_troy_agent_helen	This is so Helen can appear on the map in cinematic flybys - no text is needed or will be displayed.	true
agent_subtypes_onscreen_name_override_troy_fighter_disruptor	Fighter - Ravager	true
agent_subtypes_onscreen_name_override_troy_sarpedon	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_achilles	Epic Hero	true
agent_subtypes_onscreen_name_override_troy_dlc1_hip_warlord_warmonger	Warlord - Warmonger	true
agent_subtypes_description_text_override_troy_agent_satyr	This ribald traveller enjoys wine, music, dancing, and women... preferably all at the same time!	true
agent_subtypes_onscreen_name_override_troy_fighter_killer	Fighter - Vanquisher	true
agent_subtypes_description_text_override_troy_dlc1_hip_fighter_killer		true
