agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale	main_unit
general	troy_achilles				false	true	troy_achilles	1.35	troy_hero_achilles
general	troy_achilles_chariot_1				false	true	default	1.35	troy_hero_achilles_chariot
general	troy_achilles_chariot_2				false	true	default	1.35	troy_hero_achilles_chariot_heavy
general	troy_achilles_chariot_3				false	true	default	1.35	troy_hero_achilles_chariot_javelin
general	troy_aeneas				false	true	troy_aeneas	1.35	troy_hero_aeneas
general	troy_aeneas_chariot_1				false	true	default	1.35	troy_hero_aeneas_chariot
general	troy_aeneas_chariot_2				false	true	default	1.35	troy_hero_aeneas_chariot_heavy
general	troy_aeneas_chariot_3				false	true	default	1.35	troy_hero_aeneas_chariot_javelin
general	troy_aeneas_chariot_4				false	true	default	1.35	troy_hero_aeneas_ranged
general	troy_agamemnon				false	true	troy_agamemnon	1.35	troy_hero_agamemnon
general	troy_agamemnon_chariot_1				false	true	default	1.35	troy_hero_agamemnon_chariot
general	troy_agamemnon_chariot_2				false	true	default	1.35	troy_hero_agamemnon_chariot_melee
general	troy_agamemnon_chariot_3				false	true	default	1.35	troy_hero_agamemnon_chariot_ranged
general	troy_agamemnon_chariot_4				false	true	default	1.35	troy_hero_agamemnon_ranged
dignitary	troy_agent_envoy_01				false	true	troy_agent_envoy	1.35	troy_agent_envoy
engineer	troy_agent_gorgon_01				false	true	troy_agent_gorgon	1.35	troy_agent_gorgon_main_dummy
engineer	troy_agent_helen_01				false	true	troy_agent_helen	1.35	troy_agent_helen_dummy
general	troy_agent_priam_01				false	true	troy_agent_priam	1.35	troy_agent_priam_dummy
champion	troy_agent_priest_01				false	true	troy_agent_priest	1.35	troy_agent_priestess
engineer	troy_agent_satyr_01				false	true	troy_agent_satyr	1.35	troy_agent_satyr_main_dummy
engineer	troy_agent_seer_01				false	true	troy_agent_seer	1.35	troy_agent_seer_main_dummy
spy	troy_agent_spy_01				false	true	troy_agent_spy	1.35	troy_agent_spy
general	troy_archer		troy_main_sbc_danaan_achaeans		false	true	troy_archer_trickster	1.35	troy_hero_archer_trickster
general	troy_archer_aegisthus				true	true	troy_archer_trickster	1.35	troy_hero_archer_trickster
general	troy_archer_aegisthus_chariot_1				true	true	default	1.35	troy_hero_archer_trickster_chariot
general	troy_archer_aegisthus_chariot_2				true	true	default	1.35	troy_hero_archer_trickster_chariot_ammo
general	troy_archer_aegisthus_chariot_3				true	true	default	1.35	troy_hero_archer_trickster_chariot_range
general	troy_archer_aeolian_hero		troy_main_sbc_danaan_aeolians		false	true	troy_archer_trickster	1.35	troy_hero_archer_trickster
general	troy_archer_aeolian_hero_2		troy_main_sbc_danaan_aeolians		false	true	troy_archer_skirmisher	1.35	troy_hero_archer_skirmisher
general	troy_archer_aeolian_hero_2_chariot_1		troy_main_sbc_danaan_aeolians		false	true	default	1.35	troy_hero_archer_skirmisher_chariot
general	troy_archer_aeolian_hero_2_chariot_2		troy_main_sbc_danaan_aeolians		false	true	default	1.35	troy_hero_archer_skirmisher_chariot_ammo
general	troy_archer_aeolian_hero_2_chariot_3		troy_main_sbc_danaan_aeolians		false	true	default	1.35	troy_hero_archer_skirmisher_chariot_range
general	troy_archer_aeolian_hero_3		troy_main_sbc_danaan_aeolians		false	true	troy_archer_skirmisher	1.35	troy_hero_archer_skirmisher
general	troy_archer_aeolian_hero_3_chariot_1		troy_main_sbc_danaan_aeolians		false	true	default	1.35	troy_hero_archer_skirmisher_chariot
