art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	new_field	new_field	new_field	voiceover	composite_scene
troy_paris_chariot_3	0	0		none	troy_paris	troy_hero_paris		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_paris_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1001196890		0	0				vo_actor_group_hero_paris	composite_scene\porthole\troy_paris_chariot_1.csc
troy_fighter_meriones_chariot_2	0	0		none	troy_fighter_meriones	troy_fighter_meriones		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1003099993		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_fighter_meriones_chariot_2.csc
troy_defender_dorian_hero_chariot_3	0	0		none	troy_defender_dorian_hero	troy_defender_dorian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1004496808		0	0				vo_actor_group_genhero30s_02	composite_scene\porthole\troy_defender_dorian_hero_chariot_1.csc
troy_fighter_thracian_hero_4_chariot_5	0	0		none	troy_fighter_thracian_hero_4	troy_fighter_thracian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1006909885		0	0				vo_actor_group_genhero50s_02	
troy_defender_aeolian_hero_2	0	0		none	troy_defender_aeolian_hero_2	troy_defender_aeolian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1010207883		0	0				vo_actor_group_genhero20s_02	
troy_warlord_alcinous_chariot_1	0	0		none	troy_warlord_alcinous	troy_warlord_alcinous		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1010724351		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_warlord_alcinous_chariot_1.csc
troy_sarpedon_chariot_3	0	0		none	troy_sarpedon	troy_hero_sarpedon		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_sarpe_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1011038678		0	0				vo_actor_group_hero_sarpedon	composite_scene\porthole\troy_sarpedon_chariot_3.csc
troy_achilles_chariot_2	0	0		none	troy_achilles	troy_hero_achilles		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_achil_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1012101671		0	0				vo_actor_group_hero_achilles	composite_scene\porthole\troy_achilles_chariot_1.csc
troy_warlord	0	0		none	troy_warlord	troy_warlord_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1015840775		0	0				vo_actor_group_genhero30s_02	
troy_warlord_dorian_hero_4_chariot_1	0	0		none	troy_warlord_dorian_hero_4	troy_warlord_dorian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1017086626		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_warlord_dorian_hero_4_chariot_1.csc
