character_skill_key	effect_key	effect_scope	level	value
troy_agent_envoy_horde_skill_action_successful_influence_enemy_attrition_garrison_1	troy_effect_add_outcome_agent_spy_envoy_priestess_damage_enemy_garrison_mod	character_to_character_own_vs_foreign_settlement	1	15.0
troy_agent_envoy_horde_skill_actions_HIDDEN	troy_effect_agent_envoy_campaign_movement_own_army	character_to_character_own	1	1.0
troy_agent_envoy_horde_skill_actions_HIDDEN	troy_effect_agent_envoy_plant_informant	character_to_character_own	1	1.0
troy_agent_envoy_horde_skill_actions_HIDDEN	troy_effect_agent_envoy_upkeep_own_armies	character_to_character_own	1	1.0
troy_agent_envoy_horde_skill_actions_HIDDEN	troy_effect_agent_hinder_enemy_army	character_to_character_own	1	1.0
troy_agent_envoy_horde_skill_actions_HIDDEN	troy_effect_horde_agent_envoy_hinder_settlement	character_to_character_own	1	1.0
troy_agent_envoy_skill_action_compromised_maps_cannot_fail	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_compromised_maps_cannot_fail	troy_effect_agent_envoy_compromised_maps_cannot_fail	character_to_character_own	1	100.0
troy_agent_envoy_skill_action_embedded_vigour_mod	troy_effect_add_outcome_army_upkeep_mod_all	character_to_character_own_emebedded	1	-5.0
troy_agent_envoy_skill_action_embedded_vigour_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_embedded_vigour_mod	troy_effect_agent_envoy_fatigue_resistance_mod_stamina_embedded	character_to_character_own	1	-25.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod	troy_effect_campaign_agent_action_success_chance	character_to_character_own	1	5.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod_2	troy_effect_add_outcome_army_upkeep_mod_all	character_to_character_own_emebedded	1	-5.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod_3	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_chance_mod_3	troy_effect_agent_envoy_hinder_movement_plant_informant_chance_mod	character_to_character_own	1	10.0
troy_agent_envoy_skill_action_hinder_movement_cost_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_cost_mod	troy_effect_agent_envoy_actions_cost_mod	character_to_character_own	1	-15.0
troy_agent_envoy_skill_action_hinder_movement_cost_mod_1	troy_effect_add_outcome_economy_mod_all_resources	character_to_character_own_passive_local_region	1	10.0
troy_agent_envoy_skill_action_hinder_movement_cost_mod_1	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_mod_2	troy_effect_add_outcome_agent_envoy_movement_mod_armies_enemy	character_to_character_own_vs_foreign_army	1	-10.0
troy_agent_envoy_skill_action_hinder_movement_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_mod_3	troy_effect_add_outcome_agent_envoy_movement_mod_armies_enemy	character_to_character_own_vs_foreign_army	1	-10.0
troy_agent_envoy_skill_action_hinder_movement_mod_3	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_hinder_movement_mod_4	troy_effect_add_outcome_agent_envoy_movement_mod_armies_enemy	character_to_character_own_vs_foreign_army	1	-20.0
troy_agent_envoy_skill_action_hinder_movement_mod_4	troy_effect_add_outcome_agent_spy_campaign_movement_mod_agent_enemy	character_to_character_own	1	-35.0
troy_agent_envoy_skill_action_hinder_movement_mod_4	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_influence_enemy_time_mod	troy_effect_add_outcome_agent_envoy_alter_influence_acheans	character_to_character_own_vs_foreign_settlement	1	20.0
troy_agent_envoy_skill_action_influence_enemy_time_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_influence_own_time_mod	troy_effect_add_outcome_economy_mod_all_resources	character_to_character_own_passive_local_province	1	10.0
troy_agent_envoy_skill_action_influence_own_time_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_influence_own_time_mod_2	troy_effect_add_outcome_agent_envoy_influence_own_settlement_mod	character_to_character_own_at_own_settlement	1	20.0
troy_agent_envoy_skill_action_influence_own_time_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_movement_own_army_mod	troy_effect_add_outcome_agent_envoy_campaign_movement_mod_armies_agent	character_to_character_own_emebedded	1	8.0
troy_agent_envoy_skill_action_movement_own_army_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_plant_informant_cannot_fail	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_plant_informant_cannot_fail	troy_effect_agent_envoy_plant_informant_cannot_fail	character_to_character_own	1	100.0
troy_agent_envoy_skill_action_plant_informant_range_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_plant_informant_range_mod_2	troy_effect_building_sight_range	character_to_character_own	1	100.0
troy_agent_envoy_skill_action_upkeep_armies_mod	troy_effect_add_outcome_army_upkeep_mod_all	character_to_character_own_emebedded	1	-5.0
troy_agent_envoy_skill_action_upkeep_armies_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod	troy_effect_agent_action_vs_settlements_chance_mod	character_to_character_own	1	10.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod_2	troy_effect_agent_action_vs_settlements_chance_mod	character_to_character_own	1	20.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod_3	troy_effect_agent_action_vs_settlements_chance_mod	character_to_character_own	1	10.0
troy_agent_envoy_skill_action_vs_settlements_chance_mod_3	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_campaign_movement_range_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_campaign_movement_range_2	troy_effect_agent_spy_envoy_priestess_campaign_movement_mod_agent_own	character_to_character_own	1	12.0
troy_agent_envoy_skill_critical_failure_does_not_harm	troy_effect_add_outcome_agent_critical_failure_not_wounded	character_to_character_own	1	-1.0
troy_agent_envoy_skill_critical_failure_does_not_harm	troy_effect_agent_critical_success_mod_agents	character_to_character_own	1	10.0
troy_agent_envoy_skill_critical_failure_does_not_harm	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_enemy_critical_failure_mod_2	troy_effect_add_outcome_army_campaign_ambush_defence_success_chance	character_to_character_own_emebedded	1	40.0
troy_agent_envoy_skill_enemy_critical_failure_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_enemy_critical_failure_mod_3	troy_effect_agent_enemy_critical_failure_against_this_agent_mod	character_to_character_own	1	20.0
troy_agent_envoy_skill_enemy_critical_failure_mod_3	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_enemy_success_rate_mod	troy_effect_add_outcome_agent_envoy_campaign_movement_mod_armies_agent	character_to_character_own_emebedded	1	5.0
troy_agent_envoy_skill_enemy_success_rate_mod	troy_effect_agent_enemy_success_chance_against_this_agent_mod	character_to_character_own	1	-10.0
troy_agent_envoy_skill_enemy_success_rate_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_fail_does_it_again	troy_effect_add_outcome_agent_spy_envoy_priestess_fail_act_again	character_to_character_own	1	1.0
troy_agent_envoy_skill_fail_does_it_again	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_fail_does_it_again	troy_effect_agent_spy_envoy_fail_is_nothing_hidden	character_to_character_own	1	0.0
troy_agent_envoy_skill_spec_action_agianst_people_cost_mod	troy_effect_agent_actions_against_people_cost_mod	character_to_character_own	1	-25.0
troy_agent_envoy_skill_spec_action_agianst_people_cost_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_agianst_people_cost_mod_2	troy_effect_agent_actions_against_people_cost_mod	character_to_character_own	1	-50.0
troy_agent_envoy_skill_spec_action_agianst_people_cost_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_agianst_settlements_cost_mod	troy_effect_add_outcome_economy_mod_all_resources	character_to_character_own_passive_local_region	1	10.0
troy_agent_envoy_skill_spec_action_agianst_settlements_cost_mod	troy_effect_agent_actions_against_settlements_cost_mod	character_to_character_own	1	-25.0
troy_agent_envoy_skill_spec_action_agianst_settlements_cost_mod_2	troy_effect_agent_actions_against_settlements_cost_mod	character_to_character_own	1	-50.0
troy_agent_envoy_skill_spec_action_agianst_settlements_cost_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod	troy_effect_agent_envoy_arrest_priest_mod	character_to_character_own	1	20.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod	troy_effect_agent_envoy_arrest_spy_dummy_enabled	character_to_character_own	1	1.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod_2	troy_effect_agent_envoy_arrest_priest_mod	character_to_character_own	1	20.0
troy_agent_envoy_skill_spec_action_arrest_priest_mod_2	troy_effect_agent_envoy_arrest_spy_dummy_enabled	character_to_character_own	1	1.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod	troy_effect_agent_envoy_arrest_spy_dummy_enabled	character_to_character_own	1	1.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod	troy_effect_agent_envoy_arrest_spy_mod	character_to_character_own	1	30.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod_2	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod_2	troy_effect_agent_envoy_arrest_spy_dummy_enabled	character_to_character_own	1	1.0
troy_agent_envoy_skill_spec_action_arrest_spy_mod_2	troy_effect_agent_envoy_arrest_spy_mod	character_to_character_own	1	30.0
troy_agent_envoy_skill_spec_action_compromised_maps_enemy_melee_attack	troy_effect_add_outcome_army_melee_attack_mod_all_enemy_army	character_to_character_own_vs_foreign_army	1	-10.0
troy_agent_envoy_skill_spec_action_compromised_maps_enemy_melee_attack	troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN	character_to_character_own	1	-1.0
