campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui	new_field
	troy_agent_spec_unused_1	troy_agent_priest_achaeans_skill_set		2.0	troy_agent_achaeans_unused_1	6.0	troy_main_sbc_danaan_achaeans	0	0	false	0
	troy_agent_priest_skill_spec_action_passive_divine_protection_poseidon_naval_movement	troy_agent_priest_achaeans_skill_set		1.0	troy_agent_achaeans_unused_2	6.0	troy_main_sbc_danaan_achaeans	0	0	true	0
	troy_agent_spec_unused_1	troy_agent_priest_aeolians_skill_set		2.0	troy_agent_aeolians_unused_1	6.0	troy_main_sbc_danaan_aeolians	0	0	false	0
	troy_agent_priest_skill_spec_action_passive_divine_protection_poseidon_naval_movement	troy_agent_priest_aeolians_skill_set		1.0	troy_agent_aeolians_unused_2	6.0	troy_main_sbc_danaan_aeolians	0	0	true	0
	troy_agent_spec_unused_1	troy_agent_priest_dorians_skill_set		2.0	troy_agent_dorians_unused_1	6.0	troy_main_sbc_danaan_dorians	0	0	false	0
	troy_agent_priest_skill_spec_action_passive_divine_protection_poseidon_naval_movement	troy_agent_priest_dorians_skill_set		1.0	troy_agent_dorians_unused_2	6.0	troy_main_sbc_danaan_dorians	0	0	true	0
	troy_agent_envoy_skill_spec_action_arrest_priest_mod_2	troy_agent_envoy_horde_amazons_skill_set		5.0	troy_agent_envoy_horde_dlc1_skill_action_arrest_priest_mod_2	13.0	troy_amazons_sbc_horde_amazons	0	0	true	12
	troy_agent_envoy_skill_spec_action_arrest_spy_mod_2	troy_agent_envoy_horde_amazons_skill_set		2.0	troy_agent_envoy_horde_dlc1_skill_action_arrest_spy_mod_2	13.0	troy_amazons_sbc_horde_amazons	0	0	true	12
	troy_agent_horde_skill_action_embedded_horde_growth_3	troy_agent_envoy_horde_amazons_skill_set		1.0	troy_agent_envoy_horde_dlc1_skill_action_embedded_horde_growth_3	13.0	troy_amazons_sbc_horde_amazons	0	0	true	12
	troy_agent_envoy_horde_skill_action_successful_influence_enemy_attrition_garrison_1	troy_agent_envoy_horde_amazons_skill_set		3.0	troy_agent_envoy_horde_dlc1_skill_action_successful_influence_enemy_attrition_garrison_1	12.0	troy_amazons_sbc_horde_amazons	0	0	true	11
	troy_agent_envoy_skill_spec_action_upkeep_armies_mod_3	troy_agent_envoy_horde_amazons_skill_set		4.0	troy_agent_envoy_horde_dlc1_skill_action_upkeep_armies_mod_3	13.0	troy_amazons_sbc_horde_amazons	0	0	true	12
	troy_agent_envoy_horde_skill_actions_HIDDEN	troy_agent_envoy_horde_amazons_skill_set		7.0	troy_agent_envoy_horde_dlc1_skill_actions_HIDDEN	0.0	troy_amazons_sbc_horde_amazons	1	0	false	0
	troy_agent_envoy_skill_critical_failure_does_not_harm	troy_agent_envoy_horde_amazons_skill_set		3.0	troy_agent_envoy_horde_dlc1_skill_critical_failure_does_not_harm	13.0	troy_amazons_sbc_horde_amazons	0	0	true	12
