image_path	key	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost	skill_colour	wtf2
skill_node_icon_generic_agent_envoy.png	troy_agent_envoy_horde_skill_action_successful_influence_enemy_attrition_garrison_1	Dissent has the widest impact when muttered darkly by those considered friends.	Influencer	0	false	false	false	0.0	0		
battle_attack.png	troy_agent_envoy_horde_skill_actions_HIDDEN	[HIDDEN]	Envoy	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_vs_enemy _army.png	troy_agent_envoy_skill_action_compromised_maps_cannot_fail	This one has a truth-telling style; no matter what they say, people never see through it to the lie beneath.	Veil of Lies	0	false	false	false	0.0	0		
skill_node_icon_generic_vigour.png	troy_agent_envoy_skill_action_embedded_vigour_mod	The wine cup is always half full.	Encouraging Companion 	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_buff.png	troy_agent_envoy_skill_action_hinder_movement_chance_mod	Adept at knowing the idiosyncracies of human nature, this one uses their skills to ensure better results.	People Person	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_embed.png	troy_agent_envoy_skill_action_hinder_movement_chance_mod_2	Likeable and trustworthy, this one could charm the birds from the trees.	Charmer	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_vs_enemy _character.png	troy_agent_envoy_skill_action_hinder_movement_chance_mod_3	An expert in manipulating others, this one enjoys a higher success rate than is usual when dealing with people.	Master Manipulator	0	false	false	false	0.0	0		
skill_node_icon_generic_gold.png	troy_agent_envoy_skill_action_hinder_movement_cost_mod	Efficiency in all areas keeps costs down.	Erudite	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_envoy.png	troy_agent_envoy_skill_action_hinder_movement_cost_mod_1	The one has business interests aside from their duties, and is even willing to spend some of their own funds in their ruler's service.	Private Merchant	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_vs_enemy _army.png	troy_agent_envoy_skill_action_hinder_movement_mod_2	"The enemy are that way; that's right, through the valley and down to the right."	Deceiver	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_vs_enemy _army.png	troy_agent_envoy_skill_action_hinder_movement_mod_3	The one will share information, but has the tendency to omit some of the important details; it's a matter of strategy, you know.	Double Agent	0	false	false	false	0.0	0		
skill_node_icon_generic_agent_action_vs_enemy _army.png	troy_agent_envoy_skill_action_hinder_movement_mod_4	This one knows the best roads, the ones free from danger, and will tell you everything you need to know… well, almost.	Cunning Guide	0	false	false	false	0.0	0		
