key	text	tooltip
cultures_subcultures_name_troy_amazons_sbc_horde_amazons	Horde Amazons	true
cultures_subcultures_confederation_screen_name_troy_main_sbc_danaan_dorians		true
cultures_subcultures_confederation_summary_name_troy_main_sbc_trojan_thracians		true
cultures_subcultures_name_troy_main_sbc_trojan_pelasgians	Pelasgians	true
cultures_subcultures_confederation_screen_name_troy_amazons_sbc_horde_amazons		true
cultures_subcultures_confederation_screen_name_troy_amazons_sbc_trojan_amazons		true
cultures_subcultures_confederation_screen_name_troy_main_sbc_trojan_leleges		true
cultures_subcultures_name_troy_main_sbc_danaan_ionians	Ionians	true
cultures_subcultures_confederation_summary_name_troy_main_sbc_danaan_ionians		true
cultures_subcultures_name_troy_main_sbc_trojan_maeonians	Maeonians	true
cultures_subcultures_name_troy_amazons_sbc_trojan_amazons	Settled Amazons	true
cultures_subcultures_confederation_summary_name_troy_amazons_sbc_horde_amazons		true
cultures_subcultures_confederation_summary_name_troy_main_sbc_trojan_pelasgians		true
cultures_subcultures_confederation_summary_name_troy_main_sbc_danaan_dorians		true
cultures_subcultures_confederation_screen_name_troy_main_sbc_trojan_pelasgians		true
cultures_subcultures_confederation_screen_name_troy_main_sbc_danaan_aeolians		true
cultures_subcultures_confederation_summary_name_troy_main_sbc_trojan_leleges		true
cultures_subcultures_confederation_screen_name_troy_main_sbc_danaan_achaeans		true
cultures_subcultures_name_troy_main_sbc_danaan_achaeans	Achaeans	true
cultures_subcultures_name_troy_main_sbc_danaan_dorians	Dorians	true
cultures_subcultures_confederation_screen_name_troy_main_sbc_trojan_thracians		true
cultures_subcultures_name_troy_main_sbc_trojan_thracians	Thracians	true
cultures_subcultures_confederation_summary_name_troy_main_sbc_trojan_maeonians		true
cultures_subcultures_confederation_summary_name_troy_amazons_sbc_trojan_amazons		true
cultures_subcultures_confederation_summary_name_troy_main_sbc_danaan_achaeans		true
cultures_subcultures_name_troy_main_sbc_trojan_leleges	Leleges	true
cultures_subcultures_confederation_summary_name_troy_main_sbc_danaan_aeolians		true
cultures_subcultures_name_troy_main_sbc_danaan_aeolians	Aeolians	true
cultures_subcultures_confederation_screen_name_troy_main_sbc_danaan_ionians		true
cultures_subcultures_confederation_screen_name_troy_main_sbc_trojan_maeonians		true
