key	text	tooltip
effects_description_troy_effect_hero_self_armour_spec_melee_defence	%+n to melee defence of Hero	true
effects_description_troy_effect_building_achilles_elites_rank_up	{{tr:effect_rank_up_faction_elites}}	true
effects_description_troy_effect_building_recruitment_rank_dardania_mob_rabble	%+n to recruit rank of Dardanian Mob and Dardanian Rabble	true
effects_description_troy_effect_hero_defender_ability_dread_of_ares_replace	Replaces "Dread of Ares" ability	true
effects_description_troy_effect_gods_add_wood	%n to wood production per turn in each region already producing wood	true
effects_description_troy_effect_agent_action_enable_establish_supply_base	[PH] [hidden]	true
effects_description_troy_effect_hero_unit_fatigue_reduction_spec_cap	Units always begin battle "Fresh"	true
effects_description_troy_effect_building_resource_stack_stone_big_cheap	Foreign Traders: +1 big cheap stone stack	true
effects_description_troy_effect_faction_diplomacy_paris	%+n to diplomatic relations with Paris of Troy	true
effects_description_troy_effect_buildings_faction_limit_centaurs	(Faction Limit per Centaur unit: 12)	true
effects_description_troy_effect_building_unit_upgarde_korynites_dummy	{{tr:troy_effect_initiation_rite_tr}} Korynites	true
effects_description_troy_effect_hero_fighter_ability_bow_to_the_moirai_spec_ias	"Threads of Fate (Armour)" specialisation	true
effects_description_troy_effect_building_unit_upgarde_chariot_javelins_dummy	{{tr:troy_effect_initiation_rite_tr}} Chariot Javelins	true
effects_description_troy_effect_agent_add_food	{{tr:troy_effect_text_agent_add_food}}	true
effects_description_troy_effect_agent_spy_assassinate_enemy_character	[PH] [hidden]	true
effects_description_troy_effect_gods_heroes_cause_fear	All Heroes frighten enemy units in battle	true
effects_description_troy_dlc1_horde_building_cost_mod_all	%+n% to construction cost of all horde buildings	true
effects_description_troy_effect_building_unit_upgarde_aristomachoi_dummy	{{tr:troy_effect_initiation_rite_tr}} Aristomachoi	true
effects_description_troy_effect_hero_fighter_ability_batter_replace	Replaces "Assault & Battery" ability	true
effects_description_troy_effect_campaign_happiness_factor_events	%+n to happiness 	true
effects_description_troy_main_building_high_influence_bronze_production	{{tr:troy_main_building_high_influence}} %+n {{tr:troy_effect_bronze_per_turn}}	true
effects_description_troy_effect_hero_campaign_sacking_spec_sacking	%+n% to income from sacking	true
effects_description_troy_effect_hero_self_cooldown_spec_cost	%+n% to rage cost of activated abilities	true
effects_description_troy_effect_hero_unit_recruit_rank_spec_missile	%+n to recruit rank of all new missile units 	true
effects_description_troy_main_effect_influence_factor_character_hero	{{tr:agent_action_envoy_influence_own_settlement_mod}}	true
effects_description_troy_effect_hero_self_morale	%+n to morale of Hero	true
effects_description_troy_effect_gods_deal_evaluation_all_except_barter	%+n to deal evaluation for all diplomatic agreements except barters	true
effects_description_troy_effect_hero_archer_ability_apollos_rain_spec_range	"Apollo's Rain (Range)" specialisation	true
effects_description_troy_effect_hero_warlord_ability_recuperate_spec_increase_amount	"Reinvigorate (Stamina)" specialisation	true
effects_description_troy_effect_agent_recruitment_rank_agents	{{tr:troy_effect_text_hero_campaign_agent_recruitment_rank}}	true
effects_description_troy_effect_agent_envoy_alter_influence_acheans_factor_character	{{tr:troy_effect_text_agent_envoy_alter_influence_acheans}}	true
effects_description_troy_effect_hero_campaign_enemy_agent_failure	%+n% to success chance of enemy agent actions against this Hero	true
effects_description_troy_effect_dlc1_effect_sacred_settlement_big_culture	%+n Amazon treasures per turn (Hippolyta's faction only).	true
effects_description_troy_effect_building_unit_upgarde_hippolyta_chosen_dummy	{{tr:troy_effect_initiation_rite_tr}} Hippolyta's Chosen	true
effects_description_troy_effect_building_recruitment_cost_heros	%+n% to recruitment cost of Heroes	true
effects_description_troy_effect_campaign_horde_building_growth_core	%+n to horde growth	true
effects_description_troy_effect_dlc1_hero_archer_ability_deadly_focus_spec_reload	"Deadly Focus (Reload)" specialisation	true
effects_description_troy_effect_lineage_upkeep_light_units	%+n% to upkeep cost of light infantry units	true
effects_description_troy_effect_troy_story_trojans	{{tr:troy_story_effect_trojans}}	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_clubs_rank	%+n to recruit rank of club units	true
effects_description_troy_main_hero_campaign_happiness_spec_garrison_dummy	{{tr:public_order_effect}}: %+n to happiness when garrisoned	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_diplomacy_with_danaans	%+n to diplomatic relations with the Danaans	true
effects_description_troy_effect_building_resource_stack_wood_medium_average	Foreign Traders: +1 medium average wood stack	true
effects_description_troy_effect_economy_other_add_gold	%+n {{tr:troy_effect_gold_per_turn}} 	true
effects_description_troy_effect_army_battle_speed_movement_island_battles	%+n% to battle speed of all units during island battles	true
effects_description_troy_effect_hero_fighter_ability_desecrate_the_fallen_replace	Replaces "Humiliate the Dead" ability	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_all_units_morale	%+n to morale of all units	true
effects_description_troy_effect_hero_self_enemy_trojans_spec_hector	%+n damage when fighting against Hector's faction.	true
effects_description_troy_effect_building_unit_upgarde_labrys_wielders_dummy	{{tr:troy_effect_initiation_rite_tr}} Labrys Infantry	true
effects_description_troy_main_achilles_living_legend_myrmidons_dummy	Grants extra units for instant recruitment	true
effects_description_troy_effect_agent_priestess_sacrifice_good_omen_missile_damage_mod	%+n% to missile damage from good omens	true
effects_description_troy_effect_hero_campaign_recruitment_cost_spec_missile	%+n% to recruitment cost of missile units in Hero's army	true
effects_description_troy_trait_loyalty_battle_sea	 %+n to {{tr:troy_main_motivation}} after this Hero fights a battle in a sea region or a port settlement	true
effects_description_troy_effect_agent_action_cost_mod_all_agents	%+n% to action cost for all agents	true
effects_description_troy_effect_hero_campaign_additional_resource_food	%+n {{tr:troy_effect_food_per_turn}}	true
effects_description_troy_effect_building_aeneas_armour_piercing	%+n to armour-piercing damage of all Dardanian Sworn Fighters	true
effects_description_troy_effect_army_land_unit_cap	%+n to unit cap for armies	true
effects_description_troy_effect_hero_rage_mod	%+n% to generated rage in battle	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_hero_movement	%+n% to speed of Heroes	true
effects_description_troy_effect_army_effect_morale_mod_all_own	%+n% to morale of all units	true
effects_description_troy_effect_technology_effect_add_gold	%+n {{tr:troy_effect_gold_per_turn}}	true
effects_description_troy_effect_ancillary_armour_spec_giant_units	%+n to armour of giant units in Hero's army	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_morale_sea_battle	%+n to morale when fighting at sea	true
effects_description_troy_effect_hero_fighter_ability_jump_in_battle_spec_melee	"Ares' Gift (Melee)" specialisation	true
effects_description_troy_effect_agent_priestess_rituals_own_god_favour_mod	%+n% to favour of the gods from rituals in own settlements	true
effects_description_troy_effect_agent_priestess_successful_wrath_act_again	{{tr:troy_effect_text_agent_priestess_successful_wrath_act_again}}	true
effects_description_troy_effect_temple_conversion_dummy	This temple can be re-dedicated to another deity of the same building level	true
effects_description_troy_effect_hero_warlord_ability_march_on_spec_speed	"March of Hermes (Battle Speed)" specialisation	true
effects_description_troy_effect_hero_archer_ability_eagle_eye_spec_cost	"Snipe (Cost)" specialisation	true
effects_description_troy_effect_campaign_happiness_faction	{{tr:public_order_effect}}: %+n	true
effects_description_troy_effect_technology_effect_add_bronze	%+n {{tr:troy_effect_bronze_per_turn}}	true
effects_description_troy_effect_faction_diplomacy_sparta	%+n to diplomatic relations with Sparta	true
effects_description_troy_effect_hero_campaign_lightning_strike_spec_aura_strength	Increases the aura strength of Hero in night battles	true
effects_description_troy_effect_building_sarpedon_elites_rank_up	{{tr:effect_rank_up_faction_elites}}	true
effects_description_troy_effect_hero_defender_ability_heroic_resolve_spec_duration	"Heraclean Resolve (Duration)" specialisation	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_loyalty	%+n to {{tr:troy_main_motivation}} for all Heroes at the start of turn	true
effects_description_troy_effect_add_outcome_building_recruitment_rank_all	{{tr:troy_effect_text_building_recruitment_rank_all}}	true
effects_description_troy_effect_agent_cap_increase_envoy	%+n to capacity for envoys (up to 3)	true
effects_description_troy_effect_hero_fighter_ability_frenzy_spec_vigour	"Frenzy (Stamina)" specialisation	true
effects_description_troy_effect_hero_self_missile_armour_piercing	%+n% to ranged armour-piercing damage of Hero	true
effects_description_troy_effect_agent_critical_success_mod_agents	%+n% to critical success chance of all agent actions	true
effects_description_troy_effect_building_defence_mod	%+n to defence skill of all units trained in this province	true
effects_description_troy_effect_hero_fighter_ability_blind_rage_spec_duration	"Ares' Rage (Duration)" specialisation	true
effects_description_troy_trait_loyalty_end_turn_region_faction_leader	 %+n to {{tr:troy_main_motivation}} if this Hero ends turn in the same region as their faction leader	true
effects_description_troy_effect_army_missile_damage_mod_archers	%+n% to missile damage of archers	true
effects_description_troy_effect_gods_favour_mod_aphrodite	Favour of Aphrodite: %+n	true
effects_description_troy_effect_economy_buildings_add_wood	%+n {{tr:troy_effect_wood_per_turn}}	true
effects_description_troy_effect_hero_archer_ability_born_with_the_bow_spec_speed	"Centaur Drill (Speed)" specialisation	true
effects_description_troy_effect_hero_fighter_ability_cleave	"Cleave" ability	true
effects_description_troy_effect_faction_influence_in_capitals_only	%+n to influence at province capitals	true
effects_description_troy_effect_hero_unit_morale_spec_spearmen	%+n% to morale of spear units in Hero's army	true
effects_description_troy_effect_hero_campaign_growth	%+n to growth in the local province	true
effects_description_troy_effect_technology_income_from_raiding	%+n% to income from raiding	true
effects_description_troy_effect_hero_archer_ability_inspired_shots_replace	Replaces "Inspired Aim" ability	true
effects_description_troy_effect_buildings_immortality	All of your faction's Heroes become immortal	true
effects_description_troy_effect_hero_achilles_his_army_movement_speed_dummy	%+n% to battle speed of all units in Achilles' army	true
effects_description_troy_effect_economy_other_add_wood	%+n {{tr:troy_effect_wood_per_turn}}	true
effects_description_troy_effect_army_campaign_stance_cannot_attack_dummy	[[col:red]]Battle initiation: Disabled[[/col]]	true
effects_description_troy_effect_agent_priest_success_make_them_retreat_attritions_enemy_army	%+n% of enemy army scared off following successful "Oration of Dread" agent action	true
effects_description_troy_trait_loyalty_fight_trojans	 %+n to {{tr:troy_main_motivation}} after this Hero wins a battle against a Trojan army 	true
effects_description_troy_effect_fm_hector_trojan_alliance_dummy_no_effects	Use diplomacy to create more allies and increase the effects of your alliance	true
effects_description_troy_effect_hero_warlord_ability_insult_spec_area	"Taunt (Area)" specialisation	true
effects_description_troy_trait_loyalty_battle_own_territory	 %+n to {{tr:troy_main_motivation}} after this Hero fights a battle in own territory	true
effects_description_troy_effect_dlc1_amazon_horde_option_raze_and_kill_momentum	%+n battle glory	true
effects_description_troy_effect_add_outcome_agent_priestesss_block_points_replenishment	[PH] [hidden]	true
effects_description_troy_effect_hero_archer_ability_rapid_fire	"Swift of Heel" ability	true
effects_description_troy_effect_envoy_success_chance_mod	%+n% to the success chance of Envoy actions	true
effects_description_troy_effect_add_outcome_agent_spy_enemy_success_rate_weird_bonus_value	{{tr:troy_effect_text_agent_spy_enemy_success_rate_weird_bonus_value}}	true
effects_description_troy_effect_hero_archer_ability_relentless_pursuit	"Flights of Artemis" ability	true
effects_description_troy_effect_hero_fighter_ability_jump_in_battle_replace	Replaces "Ares' Gift" ability	true
effects_description_troy_effect_hero_campaign_casualties_post_battle	%+n% to battle casualties 	true
effects_description_troy_effect_agent_priestess_divine_protection_apollo	Favour of Apollo: +2 per turn	true
effects_description_troy_trait_loyalty_end_turn_enemy_territory	 %+n to {{tr:troy_main_motivation}} after this Hero ends the turn in enemy territory	true
effects_description_troy_trait_loyalty_raze_settlement	 %+n to {{tr:troy_main_motivation}} after your faction razes a settlement	true
effects_description_troy_effect_hero_defender_ability_dread_of_ares	"Dread of Ares" ability	true
effects_description_troy_effect_building_unit_upgarde_chariot_archers_dummy	{{tr:troy_effect_initiation_rite_tr}} Amazon Archer Chariots	true
effects_description_troy_effect_add_outcome_economy_mod_all_resources_wood	{{tr:troy_effect_text_economy_mod_all_resources_wood}}	true
effects_description_troy_effect_dlc1_hero_warlord_ability_none_left_standing	"None Left Standing" abiity	true
effects_description_troy_effect_hero_archer_stalk_spec_alpha_strike	"In Hades' Shadow (1st Shot)" specialisation	true
effects_description_troy_effect_add_outcome_agent_add_food	{{tr:troy_effect_text_agent_add_food}}	true
effects_description_troy_effect_dlc1_hero_warlord_ability_none_left_standing_spec_radius	"None Left Standing (Radius)" specialisation	true
effects_description_troy_effect_hero_experience_for_all_heroes_dummy	%+n to experience of all Heroes	true
effects_description_troy_effect_army_post_battle_loot_mod	{{tr:troy_effect_text_army_post_battle_loot_mod}}	true
effects_description_troy_effect_hero_campaign_campaign_movement_spec_naval	%+n% to campaign movement range of Hero's army when at sea	true
effects_description_troy_effect_building_agamemnon_elites_morale	%+n to morale of all Shielded Spearmen and Club Warriors units	true
