effect	icon	priority	icon_negative	category	is_positive_value_good
effect_bundle_hero_influence_when_razing_dummy	fx_icon_influence.png	50	fx_icon_influence.png	campaign	true
troy_agent_action_record_seer_own_settelement_success_mod		0		campaign	true
troy_agent_action_record_seer_ritual		0		campaign	false
troy_agent_horde_action_record_seer_ritual		0		campaign	false
troy_dlc1_effect_building_centaur_pool_dummy	fx_icon_army.png	1	fx_icon_army.png	campaign	true
troy_dlc1_effect_building_cost_mod_military_buildings	fx_icon_resource_upkeep.png	100	fx_icon_resource_income.png	campaign	false
troy_dlc1_effect_building_giant_pool_dummy	fx_icon_army.png	1	fx_icon_army.png	campaign	true
troy_dlc1_effect_building_harpy_pool_dummy	fx_icon_army.png	1	fx_icon_army.png	campaign	true
troy_dlc1_effect_building_siren_pool_dummy	fx_icon_army.png	1	fx_icon_army.png	campaign	true
troy_dlc1_effect_hero_upgrade_units_cost_reduction	dlc_1_icon_fm_amazon_unit_upgrading.png	600	dlc_1_icon_fm_amazon_unit_upgrading.png	campaign	false
troy_dlc1_hero_campaign_horde_growth_spec_momentum_post_battle	skill_node_icon_dlc1_battle_glory.png	1	skill_node_icon_dlc1_battle_glory.png	campaign	true
troy_dlc1_hero_campaign_horde_growth_spec_momentum_post_battle_occupation	skill_node_icon_dlc1_battle_glory.png	1	skill_node_icon_dlc1_battle_glory.png	campaign	true
troy_dlc1_hero_campaign_razing_spec_capture_bonus_favour_dummy	fx_icon_favour.png	101	fx_icon_favour.png	campaign	true
troy_dlc1_hero_campaign_razing_spec_capture_bonus_resources_dummy	fx_icon_favour.png	101	fx_icon_favour.png	campaign	true
troy_dlc1_hero_campaign_treasures_battle_dummy	fx_icon_sacred_settlement.png	100	fx_icon_army.png	campaign	true
troy_dlc1_hero_campaign_treasures_battle_spec_siege_dummy	fx_icon_sacred_settlement.png	100	fx_icon_army.png	campaign	true
troy_dlc1_hero_unit_experience	fx_icon_experience.png	100	fx_icon_experience.png	campaign	true
troy_dlc1_hero_unit_experience_spec_cavalry	fx_icon_experience.png	100	fx_icon_experience.png	campaign	true
