agent	faction	subtype
champion	troy_amazons_trj_hippolyta	troy_agent_priest
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_archer_skirmisher
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_archer_trickster
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_balanced
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_disruptor
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_killer
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_tactician
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_utility
colonel	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_warmonger
dignitary	troy_amazons_trj_hippolyta	troy_agent_envoy
engineer	troy_amazons_trj_hippolyta	troy_agent_gorgon
engineer	troy_amazons_trj_hippolyta	troy_agent_satyr
engineer	troy_amazons_trj_hippolyta	troy_agent_seer
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_archer_skirmisher
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_archer_trickster
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_balanced
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_disruptor
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_fighter_killer
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_tactician
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_utility
general	troy_amazons_trj_hippolyta	troy_dlc1_hip_warlord_warmonger
minister	troy_amazons_trj_hippolyta	default
runesmith	troy_amazons_trj_hippolyta	default
spy	troy_amazons_trj_hippolyta	troy_agent_spy
wizard	troy_amazons_trj_hippolyta	default
champion	troy_amazons_trj_penthesilea	troy_agent_priest
dignitary	troy_amazons_trj_penthesilea	troy_agent_envoy
engineer	troy_amazons_trj_penthesilea	troy_agent_gorgon
engineer	troy_amazons_trj_penthesilea	troy_agent_satyr
engineer	troy_amazons_trj_penthesilea	troy_agent_seer
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_archer_skirmisher
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_archer_trickster
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_fighter_balanced
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_fighter_disruptor
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_fighter_killer
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_warlord_tactician
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_warlord_utility
general	troy_amazons_trj_penthesilea	troy_dlc1_pen_warlord_warmonger
general	troy_amazons_trj_penthesilea	troy_penthesilea
minister	troy_amazons_trj_penthesilea	default
runesmith	troy_amazons_trj_penthesilea	default
spy	troy_amazons_trj_penthesilea	troy_agent_spy
wizard	troy_amazons_trj_penthesilea	default
champion	troy_main_dan_abantes	troy_agent_priest
colonel	troy_main_dan_abantes	troy_defender_aggro
colonel	troy_main_dan_abantes	troy_fighter_balanced
colonel	troy_main_dan_abantes	troy_fighter_disruptor
colonel	troy_main_dan_abantes	troy_fighter_killer
dignitary	troy_main_dan_abantes	troy_agent_envoy
engineer	troy_main_dan_abantes	troy_agent_gorgon
engineer	troy_main_dan_abantes	troy_agent_satyr
engineer	troy_main_dan_abantes	troy_agent_seer
general	troy_main_dan_abantes	troy_archer_skirmisher
general	troy_main_dan_abantes	troy_archer_trickster
general	troy_main_dan_abantes	troy_defender_aggro
general	troy_main_dan_abantes	troy_defender_quick
general	troy_main_dan_abantes	troy_defender_tank
general	troy_main_dan_abantes	troy_fighter_balanced
general	troy_main_dan_abantes	troy_fighter_disruptor
general	troy_main_dan_abantes	troy_fighter_killer
general	troy_main_dan_abantes	troy_warlord_tactician
general	troy_main_dan_abantes	troy_warlord_utility
general	troy_main_dan_abantes	troy_warlord_warmonger
minister	troy_main_dan_abantes	default
runesmith	troy_main_dan_abantes	default
spy	troy_main_dan_abantes	troy_agent_spy
wizard	troy_main_dan_abantes	default
champion	troy_main_dan_achaean_rebels	troy_agent_priest
colonel	troy_main_dan_achaean_rebels	troy_defender_aggro
colonel	troy_main_dan_achaean_rebels	troy_fighter_balanced
colonel	troy_main_dan_achaean_rebels	troy_fighter_disruptor
colonel	troy_main_dan_achaean_rebels	troy_fighter_killer
dignitary	troy_main_dan_achaean_rebels	troy_agent_envoy
general	troy_main_dan_achaean_rebels	troy_archer_skirmisher
general	troy_main_dan_achaean_rebels	troy_archer_trickster
general	troy_main_dan_achaean_rebels	troy_defender_aggro
general	troy_main_dan_achaean_rebels	troy_defender_quick
general	troy_main_dan_achaean_rebels	troy_defender_tank
general	troy_main_dan_achaean_rebels	troy_fighter_balanced
general	troy_main_dan_achaean_rebels	troy_fighter_disruptor
general	troy_main_dan_achaean_rebels	troy_fighter_killer
general	troy_main_dan_achaean_rebels	troy_warlord_tactician
general	troy_main_dan_achaean_rebels	troy_warlord_utility
general	troy_main_dan_achaean_rebels	troy_warlord_warmonger
minister	troy_main_dan_achaean_rebels	default
runesmith	troy_main_dan_achaean_rebels	default
spy	troy_main_dan_achaean_rebels	troy_agent_spy
wizard	troy_main_dan_achaean_rebels	default
champion	troy_main_dan_achilles_separatists	troy_agent_priest
colonel	troy_main_dan_achilles_separatists	troy_defender_aggro
colonel	troy_main_dan_achilles_separatists	troy_fighter_balanced
colonel	troy_main_dan_achilles_separatists	troy_fighter_disruptor
colonel	troy_main_dan_achilles_separatists	troy_fighter_killer
dignitary	troy_main_dan_achilles_separatists	troy_agent_envoy
general	troy_main_dan_achilles_separatists	troy_archer_skirmisher
general	troy_main_dan_achilles_separatists	troy_archer_trickster
general	troy_main_dan_achilles_separatists	troy_defender_aggro
general	troy_main_dan_achilles_separatists	troy_defender_quick
general	troy_main_dan_achilles_separatists	troy_defender_tank
general	troy_main_dan_achilles_separatists	troy_fighter_balanced
general	troy_main_dan_achilles_separatists	troy_fighter_disruptor
general	troy_main_dan_achilles_separatists	troy_fighter_killer
general	troy_main_dan_achilles_separatists	troy_warlord_tactician
general	troy_main_dan_achilles_separatists	troy_warlord_utility
general	troy_main_dan_achilles_separatists	troy_warlord_warmonger
minister	troy_main_dan_achilles_separatists	default
runesmith	troy_main_dan_achilles_separatists	default
spy	troy_main_dan_achilles_separatists	troy_agent_spy
wizard	troy_main_dan_achilles_separatists	default
champion	troy_main_dan_achilles	troy_agent_priest
colonel	troy_main_dan_achilles	troy_archer_skirmisher
colonel	troy_main_dan_achilles	troy_archer_trickster
colonel	troy_main_dan_achilles	troy_defender_aggro
colonel	troy_main_dan_achilles	troy_defender_quick
colonel	troy_main_dan_achilles	troy_defender_tank
colonel	troy_main_dan_achilles	troy_fighter_balanced
colonel	troy_main_dan_achilles	troy_fighter_disruptor
colonel	troy_main_dan_achilles	troy_fighter_killer
dignitary	troy_main_dan_achilles	troy_agent_envoy
engineer	troy_main_dan_achilles	troy_agent_gorgon
engineer	troy_main_dan_achilles	troy_agent_satyr
engineer	troy_main_dan_achilles	troy_agent_seer
general	troy_main_dan_achilles	troy_achilles
general	troy_main_dan_achilles	troy_archer_skirmisher
general	troy_main_dan_achilles	troy_archer_trickster
general	troy_main_dan_achilles	troy_defender_aggro
general	troy_main_dan_achilles	troy_defender_quick
general	troy_main_dan_achilles	troy_defender_tank
general	troy_main_dan_achilles	troy_fighter_balanced
general	troy_main_dan_achilles	troy_fighter_disruptor
general	troy_main_dan_achilles	troy_fighter_killer
minister	troy_main_dan_achilles	default
runesmith	troy_main_dan_achilles	default
spy	troy_main_dan_achilles	troy_agent_spy
wizard	troy_main_dan_achilles	default
champion	troy_main_dan_aeolian_rebels	troy_agent_priest
colonel	troy_main_dan_aeolian_rebels	troy_defender_aggro
colonel	troy_main_dan_aeolian_rebels	troy_fighter_balanced
colonel	troy_main_dan_aeolian_rebels	troy_fighter_disruptor
colonel	troy_main_dan_aeolian_rebels	troy_fighter_killer
dignitary	troy_main_dan_aeolian_rebels	troy_agent_envoy
general	troy_main_dan_aeolian_rebels	troy_archer_skirmisher
general	troy_main_dan_aeolian_rebels	troy_archer_trickster
general	troy_main_dan_aeolian_rebels	troy_defender_aggro
general	troy_main_dan_aeolian_rebels	troy_defender_quick
general	troy_main_dan_aeolian_rebels	troy_defender_tank
general	troy_main_dan_aeolian_rebels	troy_fighter_balanced
general	troy_main_dan_aeolian_rebels	troy_fighter_disruptor
general	troy_main_dan_aeolian_rebels	troy_fighter_killer
general	troy_main_dan_aeolian_rebels	troy_warlord_tactician
general	troy_main_dan_aeolian_rebels	troy_warlord_utility
general	troy_main_dan_aeolian_rebels	troy_warlord_warmonger
minister	troy_main_dan_aeolian_rebels	default
runesmith	troy_main_dan_aeolian_rebels	default
spy	troy_main_dan_aeolian_rebels	troy_agent_spy
wizard	troy_main_dan_aeolian_rebels	default
champion	troy_main_dan_aethaleia	troy_agent_priest
colonel	troy_main_dan_aethaleia	troy_defender_aggro
colonel	troy_main_dan_aethaleia	troy_fighter_balanced
colonel	troy_main_dan_aethaleia	troy_fighter_disruptor
colonel	troy_main_dan_aethaleia	troy_fighter_killer
dignitary	troy_main_dan_aethaleia	troy_agent_envoy
engineer	troy_main_dan_aethaleia	troy_agent_gorgon
engineer	troy_main_dan_aethaleia	troy_agent_satyr
engineer	troy_main_dan_aethaleia	troy_agent_seer
general	troy_main_dan_aethaleia	troy_archer_skirmisher
general	troy_main_dan_aethaleia	troy_archer_trickster
general	troy_main_dan_aethaleia	troy_defender_aggro
general	troy_main_dan_aethaleia	troy_defender_quick
