key	text	tooltip
factions_senator_text_n_out_of_n_troy_main_trj_maeonian_rebels		true
factions_defend_desc_troy_main_dan_aeolian_rebels	You are defending against the Shekelesh!	true
factions_senator_text_n_out_of_n_troy_main_dan_achaean_rebels		true
factions_screen_name_when_shogun_troy_main_dan_antheada	placeholder	true
factions_screen_name_troy_main_dan_pylos	Pylos	true
factions_clan_summary_name_when_shogun_troy_main_dan_knossos	placeholder	true
factions_clan_summary_name_troy_main_dan_asia	placeholder	true
factions_screen_adjective_troy_main_dan_dionysias	Dionysias	true
factions_screen_name_when_rebels_troy_main_dan_ellopians	Ionian Rebels	true
factions_senator_text_n_out_of_n_troy_main_dan_asia		true
factions_clan_summary_name_when_shogun_troy_main_trj_agriophones	placeholder	true
factions_defend_desc_troy_main_dan_aetolians	You are defending against the Aetolians!	true
factions_screen_name_when_shogun_troy_main_trj_hector	placeholder	true
factions_senator_text_n_out_of_n_troy_main_dan_dolopia		true
factions_defend_desc_troy_main_dan_rhodes	You are defending against Rhodes!	true
factions_attack_desc_troy_main_trj_alazones	You are attacking the Alazones!	true
factions_senator_text_n_out_of_n_troy_main_trj_maeonians		true
factions_clan_summary_name_when_shogun_troy_main_dan_arcadians_tutorial	placeholder	true
factions_attack_desc_troy_amazons_trj_penthesilea	You are attacking Penthesilea's Amazons!	true
factions_screen_adjective_troy_main_trj_cyclops	Cyclops	true
factions_screen_name_when_rebels_troy_main_dan_aeolian_rebels	Shekelesh	true
factions_screen_adjective_troy_main_trj_dardania	Dardanian	true
factions_attack_desc_troy_main_dan_ionian_rebels	You are attacking Denyen of the Sea!	true
factions_screen_name_when_rebels_troy_main_trj_aethria	Pelasgian Rebels	true
factions_defend_desc_troy_main_dan_esperia	You are defending against Esperia!	true
factions_clan_summary_name_troy_main_dan_dorian_rebels	placeholder	true
factions_clan_summary_name_when_shogun_troy_main_trj_tlawa	placeholder	true
factions_senator_text_n_out_of_n_troy_main_trj_alazones		true
factions_screen_name_troy_main_dan_epirotes	Epirotes	true
factions_clan_summary_name_when_shogun_troy_main_dan_antheada	placeholder	true
factions_attack_desc_troy_main_dan_rhodes	You are attacking Rhodes!	true
factions_clan_summary_name_when_shogun_troy_main_dan_tantalis	placeholder	true
factions_attack_desc_troy_main_dan_dolopia	You are attacking Dolopia!	true
factions_screen_name_troy_main_dan_argos	Argos	true
factions_screen_name_when_rebels_troy_main_trj_pelasgians_rebels	Peleset (Pelasgian Rebels)	true
factions_screen_name_when_shogun_att_fact_red	placeholder	true
factions_senator_text_n_out_of_n_troy_main_dan_athina		true
factions_screen_adjective_troy_main_dan_miletus	Miletus	true
