key	text	tooltip
land_units_onscreen_name_troy_armoured_veteran_slingers	Renowned Armoured Slingers	true
land_units_onscreen_name_troy_dlc1_pen_hero_warlord_warmonger_chariot_heavy	Warmonger	true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_archer_skirmisher	Skirmisher	true
land_units_concealed_name_troy_dlc1_hip_hero_trickster_chariot_ammo		true
land_units_concealed_name_troy_dlc1_pen_hero_archer_trickster_chariot_ammo		true
land_units_onscreen_name_troy_swordsmen_skirmishers	Sword Skirmishers	true
land_units_onscreen_name_troy_dlc1_hip_hero_warmonger_horse_melee_spec_leadership_armour	Warmonger	true
land_units_concealed_name_troy_hero_custom_agamemnon		true
land_units_onscreen_name_troy_dlc1_hero_custom_hippolyta_archer_horse_wild_spec_fearless	Hippolyta	true
land_units_concealed_name_troy_hero_warlord_warmonger		true
land_units_concealed_name_troy_hero_custom_archer_trickster_chariot_ammo		true
land_units_onscreen_name_troy_dlc1_hip_hero_archer_trickster	Trickster	true
land_units_onscreen_name_troy_dlc1_pen_hero_fighter_disruptor_horse_javelin_spec_ammo	Ravager	true
land_units_onscreen_name_troy_hero_agamemnon	Agamemnon	true
land_units_concealed_name_troy_dlc1_pen_hero_custom_fighter_balanced_chariot_heavy		true
land_units_onscreen_name_troy_ith_ambushers	Ambushers	true
land_units_concealed_name_troy_dlc1_hip_hero_custom_balanced_horse_melee		true
land_units_onscreen_name_troy_dlc1_ama_pen_furies	Furies	true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_skirmisher_archer_horse_wild	Skirmisher	true
land_units_concealed_name_troy_hero_custom_agamemnon_chariot		true
land_units_concealed_name_troy_dendra_chargers		true
land_units_concealed_name_troy_hero_custom_archer_skirmisher_chariot_range		true
land_units_onscreen_name_troy_hero_custom_defender_agro	Veteran	true
land_units_concealed_name_troy_dlc1_ama_gen_initiates		true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_warlord_utility_horse_javelin_spec_ammo	Mentor	true
land_units_onscreen_name_troy_hero_custom_fighter_balanced_chariot	Champion	true
land_units_onscreen_name_troy_hero_warlord_warmonger	Warmonger	true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_warlord_utility_horse_javelin	Mentor	true
land_units_concealed_name_troy_hero_custom_fighter_killer_chariot		true
land_units_onscreen_name_troy_dlc1_pen_hero_custom_warlord_warmonger	Warmonger	true
land_units_concealed_name_troy_dlc1_pen_hero_custom_warlord_utility_chariot_melee		true
land_units_concealed_name_troy_hero_custom_fighter_balanced_chariot_javelin		true
land_units_onscreen_name_troy_hero_fighter_disruptor_chariot_melee	Ravager	true
land_units_onscreen_name_troy_veteran_trojan_slingers	Renowned Trojan Slingers	true
land_units_onscreen_name_troy_hero_custom_achilles_epic_chariot	Achilles	true
land_units_onscreen_name_troy_heavy_anatolian_swords	Heavy Anatolian Swords	true
land_units_onscreen_name_troy_hero_odysseus_chariot_range	Odysseus	true
land_units_onscreen_name_troy_hero_custom_achilles_epic	Achilles	true
land_units_onscreen_name_troy_dlc1_hip_hero_skirmisher_archer_horse_wild_spec_fearless	Skirmisher	true
land_units_concealed_name_troy_myth_corybantes		true
land_units_concealed_name_troy_dlc1_hip_hero_fighter_killer		true
land_units_concealed_name_troy_hero_custom_hector		true
land_units_concealed_name_troy_dlc1_ama_hip_amazon_champions		true
land_units_onscreen_name_troy_dlc1_hip_hero_warlord_tactician_horse_javelin	Commander	true
land_units_onscreen_name_troy_hero_custom_warlord_utility	Mentor	true
land_units_concealed_name_troy_dlc1_pen_hero_archer_skirmisher		true
land_units_onscreen_name_troy_dlc1_pen_hero_balanced_horse_melee	Champion	true
land_units_concealed_name_troy_hero_hector		true
land_units_onscreen_name_troy_hero_aeneas_chariot_heavy	Aeneas	true
land_units_onscreen_name_troy_veteran_trojan_archers	Renowned Archers	true
land_units_concealed_name_troy_ith_odysseus_night_runners		true
land_units_onscreen_name_troy_heavy_eastern_spearmen	Heavy Eastern Spearmen	true
land_units_onscreen_name_troy_hero_agamemnon_chariot	Agamemnon	true
land_units_onscreen_name_troy_hero_custom_fighter_killer_chariot_ranged	Vanquisher	true
land_units_concealed_name_troy_veteran_trojan_swordsmen		true
land_units_concealed_name_troy_dardanian_zealots		true
land_units_onscreen_name_troy_dlc1_pen_hero_fighter_killer_chariot_heavy	Vanquisher	true
land_units_onscreen_name_troy_lycian_archers	Hunters	true
land_units_onscreen_name_troy_dlc1_ama_hip_amazon_champions	Amazon Champions	true
land_units_onscreen_name_troy_veteran_phrygian_axemen	Renowned Phrygian Axemen	true
land_units_onscreen_name_troy_dlc1_pen_hero_custom_fighter_balanced_chariot_heavy	Champion	true
land_units_onscreen_name_troy_par_trojan_noble_chariots	Trojan Noble Chariots	true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_killer_horse_melee	Vanquisher	true
land_units_concealed_name_troy_hero_menelaus_chariot_heavy		true
land_units_concealed_name_troy_hero_fighter_killer		true
land_units_onscreen_name_troy_dlc1_ama_pen_chariot_javelins	Chariot Javelins	true
land_units_concealed_name_troy_dlc1_hip_hero_custom_warmonger_horse_melee		true
land_units_concealed_name_troy_dlc1_hip_hero_warlord_warmonger_chariot_heavy		true
land_units_concealed_name_troy_dlc1_hip_hero_trickster_archer_horse_wild		true
land_units_concealed_name_troy_hero_fighter_killer_chariot_javelin		true
land_units_onscreen_name_troy_hero_defender_agro_chariot	Veteran	true
land_units_onscreen_name_troy_agent_priam_dummy	Priam	true
land_units_onscreen_name_troy_dlc1_ama_hip_chariot_archers	Amazon Archer Chariots	true
land_units_concealed_name_troy_hero_aeneas_ranged		true
land_units_concealed_name_troy_tro_heavy_lycian_chariots		true
land_units_concealed_name_troy_veteran_trojan_slingers		true
land_units_concealed_name_troy_dlc1_hip_hero_fighter_killer_chariot_heavy		true
land_units_onscreen_name_troy_hero_custom_defender_quick_chariot_ammo	Companion	true
land_units_onscreen_name_troy_dlc1_hip_hero_custom_skirmisher_chariot_ammo	Skirmisher	true
