key	text	tooltip
ui_text_replacements_localised_text_hp_title_economy	Multiple Resource Economy	true
ui_text_replacements_localised_text_hp_agent_actions_spy_sedition_desc	When the spy employs this action he whispers a few careful words in the right ears, inciting riots in the target settlement, which diminishes the strength of the local garrison.	true
ui_text_replacements_localised_text_hp_title_battle_terrain_normal	Normal Ground/Plains	true
ui_text_replacements_localised_text_hp_agent_actions_spy_poison_title	Poison the Well	true
ui_text_replacements_localised_text_hp_title_battle_attributes	Introduction	true
ui_text_replacements_localised_text_hp_title_captured_slaves	Captured Slaves	true
ui_text_replacements_localised_text_troy_main_tutorial_scripted_tour_gods_and_favor_8	Click on this button to cancel a hecatomb sacrifice before it is carried out.	true
ui_text_replacements_localised_text_hp_title_looting	Looting	true
ui_text_replacements_localised_text_hp_title_unit_exemplary_ambushers	Exemplary Ambushers	true
ui_text_replacements_localised_text_hp_title_unit_heavy_lycian_chariots	Heavy Lycian Chariots	true
ui_text_replacements_localised_text_hp_title_building_shipyard	Shipyard	true
ui_text_replacements_localised_text_frontend_aen_fm_stygian_voices_1	[[img:dardania_flag]][[/img]]You can converse with dead Heroes for their wisdom to gain a variety of effects.	true
ui_text_replacements_localised_text_hp_title_effigy_of_ares	Effigy of Ares	true
ui_text_replacements_localised_text_hp_hero_sarpedon_fm_lycian_trade_missions_01	Using Lycia’s powerful network of traders, Sarpedon can spend gold to influence barter agreements between foreign kingdoms with whom he conducts trade.	true
ui_text_replacements_localised_text_hp_title_info_overlays	Info Overlays	true
ui_text_replacements_localised_text_hp_title_field_bandaging	Field Bandaging	true
ui_text_replacements_localised_text_hp_title_building_construction_and_dismantling	Construction & Dismantling	true
ui_text_replacements_localised_text_hp_title_administration	Administration	true
ui_text_replacements_localised_text_character_desc_troy_warlord_tactician	After years studying the battle intricate techniques, this Hero sees the field as an extension of his will, directing his warriors to outmanoeuvre and outlast his opponents, attacking where the foe is least defended.	true
ui_text_replacements_localised_text_effect_bundle_agent_generic_title	Agent Action	true
ui_text_replacements_localised_text_hp_campaign_point_2_income	The {{tr:icon_income}}[[sl_tooltip:campaign_income_per_turn]]income per-turn[[/sl_tooltip]] is the total expenditure subtracted from the total {{tr:icon_income}}income, and is shown at the top of the campaign interface.	true
ui_text_replacements_localised_text_hp_title_game_guide_campaign_UI_faction_summary_records	The Records Tab	true
ui_text_replacements_localised_text_hp_description_advanced_controls_5	Units in guard mode won’t pursue a fleeing enemy. Guard mode can be activated by clicking the Guard Mode button.	true
ui_text_replacements_localised_text_difficulty_battle_desc_very_hard	[[col:yellow]]Battle: [[/col]]Even the lowliest enemy soldier is formidable. Prepare for the fight of your life.	true
ui_text_replacements_localised_text_hp_description_unit_ability_flanking_resistent	The ancient tactic of outflanking the enemy is very hard to counter, but this unit is quicker to respond, receiving fewer penalties than others when it does occur.	true
ui_text_replacements_localised_text_hp_title_missions	Missions	true
ui_text_replacements_localised_text_hp_title_building_scouts	Scouts	true
ui_text_replacements_localised_text_hp_description_supply_lines	Your conquest of the Aegean will inevitably require you to deploy multiple armies. However, having more than one Hero in the field will put a strain on your supply lines and will increase the overall upkeep you have to pay for all your units. Keep this in mind as you plan your expansion. If you face financial difficulties along the way, disbanding a full army along with its commanding Hero might be more beneficial than disbanding a few units from each one of your armies.	true
ui_text_replacements_localised_text_hp_description_hero_battle_ability_fighter_frenzy	Increases the Hero's attack speed and damage, but reduces their stamina and hit points.	true
ui_text_replacements_localised_text_agent_action_description_spy_embedded	([[col:yellow]]Increases sight range of army.[[/col]])	true
ui_text_replacements_localised_text_hp_title_unit_champions_of_troy	Champions of Troy	true
ui_text_replacements_localised_text_effect_scopes_adjacent_provinces	(adjacent provinces)	true
ui_text_replacements_localised_text_troy_main_trojan_horse_pre_battle_tooltip	Click here after assigning desired units to the ship. After that, you will fight a manual night battle, in which those units will start inside the city with the gates already opened. Linger not – Troy is in your hands!\\n\\n [[col:red]]If you lose the battle all units assigned to the ship will be lost![[/red]]	true
ui_text_replacements_localised_text_troy_main_incident_lightning_storm_desc	Day has turned to night as lightning bolts rip across the sky. Clearly this is a show of anger from Zeus himself, but which Olympian could have pushed him to such a fit of rage?	true
ui_text_replacements_localised_text_troy_effect_text_agent_envoy_campaign_movement_mod_armies_agent	%+n% to campaign movement range of host army	true
ui_text_replacements_localised_text_hp_building_description_main_paris_hector_priam	King Priam was the father of Hector, Paris, and over fifty other princes and princesses from various women. According to myth, he rose to the throne when Heracles murdered his father, who had refusing to pay Poseidon and Apollo for erecting the city's mighty walls. The House of Troy flourished under his wise rule, growing prosperous once more, and he forged close alliances with neighbouring states, especially Phrygia, with whom he went to war against the Amazons. According to Virgil's 'Aeneid', Priam was killed by Achilles' son, Neoptolemus, during the Sack of Troy.	true
ui_text_replacements_localised_text_hp_agent_actions_seer_presence_desc	When passive in the field, the seer shares her visions with other Heroes and agents, increasing their knowledge of the world and granting them experience.	true
ui_text_replacements_localised_text_troy_early_game_mission_royal_decrees	Your people are eager to follow your orders, for it is through your wisdom that they will flourish. Issue a royal decree, and they will be put to work.\\n\\nAvailable decrees may be viewed on the Royal Decrees panel.\\n\\nLearn more about decrees [[url:script_link_royal_decrees]]here[[/url]].	true
ui_text_replacements_localised_text_hp_title_exotic_goods_storage	Exotic Goods Storage	true
ui_text_replacements_localised_text_troy_effect_text_army_campaign_ambush_defence_success_chance	%+n% success chance to evade an ambush	true
ui_text_replacements_localised_text_hp_troy_myth_light_spartoi	Light Spartoi	true
ui_text_replacements_localised_text_mount_header	Mount	true
