key	text	tooltip
unit_attributes_imued_effect_text_flanking_attack_improved	Improved Flanking	true
unit_attributes_imued_effect_text_uncontrollable	placeholder	true
unit_attributes_bullet_text_hide_building	Hide (buildings)||This unit can hide in buildings until enemy units get too close. - NOT WH	true
unit_attributes_imued_effect_text_mounted_fire_move	Fire While Moving	true
unit_attributes_imued_effect_text_no_ability_cooldown	hidden	true
unit_attributes_bullet_text_causes_terror	Causes Terror||This unit can cause terror, making its melee target rout for a short time. Units that cause terror are immune to terror and fear themselves.	true
unit_attributes_bullet_text_uncontrollable	[PH] Uncontrollable||The unit becomes uncontrollable - do not accept any command	true
unit_attributes_imued_effect_text_campaign_stealth	Campaign Stealth	true
unit_attributes_imued_effect_text_hide_grass	Hide (Grass)	true
unit_attributes_imued_effect_text_impetuous	Impetuous	true
unit_attributes_bullet_text_resist_cold	Resistant to Cold||This unit tires less quickly in snow.	true
unit_attributes_bullet_text_hide_scrub_and_forest	Hide (scrub & forest)||This unit can hide in tall grass, scrub and forest until enemy units get too close. 	true
unit_attributes_imued_effect_text_definite_berserk	Berserk	true
unit_attributes_imued_effect_text_rear_shield_enabled	[[img:ui/battle ui/ability_icons/fx_icon_rear_shield_defense.png]][[/img]] Rear-Shield Defence	true
unit_attributes_imued_effect_text_unspottable	Spotted only at very close range	true
unit_attributes_bullet_text_warriors_pladge	Warriors Pladge||Placeholder description text.	true
unit_attributes_bullet_text_cant_run	Cannot Run||This unit cannot run and will only move at walking pace.	true
unit_attributes_imued_effect_text_fatigue_immune	Perfect Vigour	true
unit_attributes_bullet_text_flanking_attack_improved	Flanking Attack Improved||Increases the bonus effects when this unit is attacking another unit from the sides or from behind.	true
unit_attributes_bullet_text_run_amok	Spartoi Rampage||This unit can go on a rampage, attacking anything in their sight.	true
unit_attributes_bullet_text_berserk	Berserk||This unit can go berserk during the battle. This makes them uncontrollable, they will automatically attack nearby enemies. - NOT WH	true
unit_attributes_imued_effect_text_unbreakable	[[img:ui/battle ui/ability_icons/unbreakable.png]][[/img]]Unbreakable	true
unit_attributes_bullet_text_mighty_knockback	Mighty Knockback||This unit causes extra damage when it knocks enemies back. - NOT WH	true
unit_attributes_imued_effect_text_snipe	[[img:ui/battle ui/ability_icons/snipe.png]][[/img]]Snipe	true
unit_attributes_imued_effect_text_stalk	[[img:ui/battle ui/ability_icons/stalk.png]][[/img]]Stalk	true
unit_attributes_bullet_text_ignore_ground_move_mod	Ignore Ground Type||Speed penalties caused by the terrain are ignored by this unit. - NOT WH	true
unit_attributes_bullet_text_resist_heat	Resistant to Heat||This unit tires less quickly in the desert.	true
unit_attributes_imued_effect_text_piercing_attack	{{tr:hp_title_attribute_sharpshooter}}	true
unit_attributes_imued_effect_text_causes_fear	[[img:ui/battle ui/ability_icons/causes_fear.png]][[/img]]Causes Fear	true
unit_attributes_bullet_text_flanking_immune	Immune to Flanking||Removes all bonuses from the attacker for attacking this unit from the sides or from behind	true
unit_attributes_bullet_text_all_ranks_fire	All Ranks Fire||All ranks can fire if using a weapon that only allows 1 rank to do so. - NOT WH	true
